year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
2000,1.002,3722.0,64.98,652360.0,0.684,93.71,,175287587,5.994,20.204
2001,1.032,3155.0,65.267,560747.0,0.691,93.99,,177750670,5.933,19.618
2002,0.977,2842.0,66.063,512030.0,0.698,94.27,75.09,180151021,5.889,19.016
2003,0.999,3063.0,66.114,558922.0,0.695,94.54,75.98,182482149,5.86,18.42
2004,0.963,3623.0,66.83,669289.0,0.698,94.8,76.87,184738458,5.843,17.845
2005,1.002,4770.0,67.037,891634.0,0.7,95.06,77.75,186917361,5.836,17.31
2006,0.988,5860.0,67.244,1107627.0,0.702,95.31,78.62,189012412,5.836,16.832
2007,1.081,7314.0,66.818,1397114.0,0.705,95.55,79.49,191026637,5.841,16.413
2008,1.129,8788.0,66.919,1695855.0,0.716,95.79,80.35,192979029,5.848,16.053
2009,1.119,8553.0,66.999,1666996.0,0.718,96.03,81.2,194895996,5.859,15.749
2010,1.16,11224.0,65.837,2208838.0,0.727,96.26,82.04,196796269,5.873,15.492
2011,1.14,13167.0,64.648,2616157.0,0.731,96.48,82.88,198686688,5.895,15.269
2012,1.127,12292.0,64.35,2465228.0,0.736,96.7,83.71,200560983,5.927,15.06
2013,1.196,12217.0,64.229,2472819.0,0.748,97.02,84.79,202408632,6.147,14.772
2014,1.271,12113.0,63.9,2456044.0,0.755,97.25,85.68,204213133,6.195,14.624
2015,1.343,8814.0,64.05,1802212.0,0.756,97.61,86.55,204471759,6.25,14.472
2016,1.264,8710.0,63.79,1795693.0,0.758,97.96,86.86,206163056,6.311,14.307
2017,1.263,9925.0,64.06,2062838.0,0.761,98.45,87.68,207833825,6.378,14.125
2018,,9001.0,64.05,1885469.0,0.762,98.68,88.49,209469320,6.452,13.924
2019,,8755.0,64.46,1847796.0,0.765,98.94,89.3,211049519,,
2020,,,63.71,,,99.32,90.08,212559409,,
