,year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
0,2000,99999999999998.0,5134.0,54.476,78363.0,0.759,95.26,,15262754,5.268,16.959
1,2001,99999999999998.0,4626.0,54.455,71456.0,0.766,95.69,,15444969,5.28,16.595
2,2002,99999999999998.0,4487.0,54.088,70098.0,0.768,96.11,93.13,15623635,5.303,16.277
3,2003,99999999999998.0,4816.0,54.358,76084.0,0.774,96.52,93.75,15799542,5.337,16.0
4,2004,99999999999998.0,6214.0,55.824,99260.0,0.783,96.91,94.35,15973778,5.381,15.759
5,2005,99999999999998.0,7615.0,55.33,122965.0,0.788,97.29,94.94,16147064,5.435,15.543
6,2006,99999999999998.0,9485.0,56.02,154788.0,0.788,97.66,95.52,16319792,5.496,15.339
7,2007,0.31,10527.0,57.504,173606.0,0.795,98.01,96.09,16491687,5.564,15.135
8,2008,0.375,10781.0,58.394,179638.0,0.806,98.36,96.66,16661942,5.635,14.923
9,2009,0.352,10243.0,58.041,172390.0,0.804,98.7,97.21,16829442,5.707,14.699
10,2010,0.329,12860.0,60.758,218538.0,0.808,99.02,97.75,16993354,5.777,14.466
11,2011,0.351,14706.0,61.969,252252.0,0.814,99.34,98.28,17153357,5.843,14.231
12,2012,0.362,15432.0,61.896,267122.0,0.819,99.65,98.81,17309746,5.905,14.006
13,2013,0.389,15941.0,61.989,278384.0,0.828,99.16,98.8,17462982,5.785,14.002
14,2014,0.375,14671.0,61.97,260542.0,0.834,99.4,99.25,17613798,5.848,13.7
15,2015,0.381,13574.0,62.08,243919.0,0.842,99.6,99.63,17969356,5.917,13.369
16,2016,0.369,13754.0,62.02,250440.0,0.845,99.74,99.67,18209072,5.993,13.031
17,2017,0.355,14999.0,62.34,277045.0,0.847,99.97,100.0,18470435,6.076,12.711
18,2018,0.9999,15925.0,62.49,298258.0,0.849,100.0,100.0,18729166,6.163,12.428
19,2019,,14896.0,62.36,282318.0,0.851,100.0,100.0,18952035,,
20,2020,,,62.78,,,100.0,100.0,19116209,,
