year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
2000,0.13,2472.0,60.599,99876.0,0.653,90.04,,40403958,5.644,20.959
2001,0.132,2396.0,61.504,98212.0,0.656,90.52,,40988909,5.616,20.593
2002,0.139,2356.0,62.415,97963.0,0.658,91.0,77.05,41572491,5.596,20.234
2003,0.156,2245.0,63.324,94641.0,0.657,91.47,77.67,42152151,5.581,19.865
2004,0.154,2740.0,64.22,117082.0,0.671,91.93,78.27,42724163,5.57,19.48
2005,0.15,3386.0,65.097,146566.0,0.683,92.39,78.87,43285634,5.565,19.078
2006,0.149,3709.0,65.958,162590.0,0.691,92.84,79.46,43835722,5.567,18.663
2007,0.177,4674.0,66.795,207416.0,0.704,93.29,80.05,44374572,5.578,18.247
2008,0.193,5434.0,67.61,243982.0,0.71,93.73,80.62,44901544,5.598,17.842
2009,0.19,5148.0,68.404,233822.0,0.715,94.16,81.19,45416181,5.627,17.452
2010,0.195,6251.0,68.99,287018.0,0.719,94.59,81.75,45918097,5.665,17.079
2011,0.206,7228.0,69.79,335415.0,0.725,95.01,82.3,46406646,5.711,16.727
2012,0.234,7885.0,70.685,369660.0,0.725,95.43,82.85,46881475,5.762,16.393
2013,0.271,8031.0,70.504,380192.0,0.735,96.01,85.46,47342981,5.339,15.945
2014,0.306,8114.0,69.52,381112.0,0.75,96.35,86.5,47791911,5.373,15.725
2015,0.29,6176.0,69.86,293482.0,0.756,96.68,87.55,47520667,5.41,15.515
2016,0.267,5871.0,69.5,282825.0,0.76,96.62,89.96,48175048,5.453,15.308
2017,0.243,6377.0,69.18,311884.0,0.763,96.86,90.9,48909844,5.503,15.098
2018,0.237,6717.0,68.68,333569.0,0.764,97.14,91.83,49661056,5.562,14.882
2019,,6432.0,67.81,323803.0,0.767,97.32,92.75,50339443,,
2020,,,68.88,,,97.49,93.68,50882884,,
