year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
2000,0.113,1997.0,67.617,51743.0,0.678,80.52,,25914879,5.788,24.1
2001,0.111,1982.0,70.728,52049.0,0.686,81.22,,26261363,5.699,23.627
2002,0.1061,2060.0,71.996,54796.0,0.687,81.91,64.72,26601467,5.628,23.19
2003,0.1081,2181.0,73.225,58743.0,0.686,82.59,65.75,26937738,5.575,22.785
2004,0.156,2449.0,74.417,66781.0,0.693,83.26,66.76,27273194,5.54,22.41
2005,,2755.0,75.575,76080.0,0.698,83.91,67.75,27610410,5.521,22.07
2006,,3172.0,76.729,88659.0,0.695,84.56,68.73,27949944,5.517,21.769
2007,,3612.0,77.841,102202.0,0.703,85.19,69.69,28292724,5.524,21.507
2008,,4211.0,77.938,120612.0,0.712,85.81,70.63,28641980,5.539,21.278
2009,,4167.0,78.362,120851.0,0.715,86.43,71.56,29001507,5.557,21.072
2010,,5022.0,79.078,147528.0,0.717,87.03,72.48,29373646,5.577,20.876
2011,0.083,5772.0,78.604,171762.0,0.729,87.62,73.37,29759989,5.595,20.673
2012,0.055,6388.0,78.504,192650.0,0.729,88.19,74.26,30158966,5.61,20.452
2013,0.082,6583.0,77.964,201218.0,0.736,88.93,72.32,30565716,5.309,19.185
2014,0.108,6679.0,76.97,200981.0,0.752,89.49,72.83,30973354,5.324,18.827
2015,0.117,6229.0,75.82,189803.0,0.759,90.04,73.34,30470739,5.348,18.544
2016,0.12,6205.0,75.44,191898.0,0.765,90.86,75.79,30926036,5.386,18.323
2017,0.121,6711.0,77.08,211008.0,0.767,91.44,76.49,31444299,5.438,18.134
2018,0.127,6941.0,77.56,222045.0,0.771,92.01,77.19,31989265,5.503,17.949
2019,,6978.0,77.86,226850.0,0.777,92.58,77.88,32510462,,
2020,,,77.95,,,93.14,78.58,32971846,,
