year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
2000,,1338.0,69.831,7095.0,0.624,75.03,,5302700,5.771,27.079
2001,0.074,1192.0,69.918,6446.0,0.632,76.86,,5406624,5.708,26.291
2002,0.085,1148.0,70.008,6325.0,0.642,78.67,74.82,5508611,5.655,25.57
2003,0.072,1175.0,70.102,6588.0,0.64,80.32,76.13,5607950,5.616,24.944
2004,0.073,1409.0,70.201,8034.0,0.646,81.93,77.42,5703740,5.591,24.422
2005,0.075,1507.0,70.304,8735.0,0.649,83.54,78.71,5795494,5.579,23.998
2006,,1810.0,70.404,10646.0,0.649,85.13,79.98,5882796,5.576,23.65
2007,,2312.0,70.514,13795.0,0.655,86.71,81.25,5966159,5.577,23.339
2008,0.055,3060.0,70.61,18503.0,0.664,88.27,82.52,6047117,5.579,23.036
2009,,2600.0,71.067,15934.0,0.659,89.83,83.78,6127837,5.58,22.731
2010,,3228.0,68.982,20048.0,0.675,91.37,85.03,6209877,5.581,22.422
2011,0.042,3988.0,69.251,25100.0,0.68,92.9,86.28,6293783,5.586,22.118
2012,0.065,3856.0,72.352,24595.0,0.68,94.41,87.52,6379219,5.598,21.835
2013,,4480.0,71.281,28966.0,0.695,94.6,85.52,6465740,5.407,21.646
2014,0.079,6103.0,69.6,40277.0,0.712,95.93,86.6,6552584,5.412,21.413
2015,0.097,5407.0,69.64,36164.0,0.721,97.26,87.67,6688746,5.422,21.198
2016,0.117,5319.0,70.38,36054.0,0.722,98.1,88.65,6777878,5.44,20.993
2017,0.149,5681.0,70.57,39009.0,0.726,99.36,89.69,6867058,5.465,20.787
2018,,5806.0,72.02,40385.0,0.727,99.59,90.73,6956069,5.498,20.571
2019,,5406.0,72.66,38087.0,0.728,99.59,91.78,7044639,,
2020,,,72.15,,,99.59,92.72,7132530,,
