,year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
0,2000,0.209,6872.0,63.024,22823.0,0.742,96.75,,3321245,9.424,16.398
1,2001,99999999999998.0,6281.0,64.088,20899.0,0.746,96.83,,3327103,9.412,16.2
2,2002,0.238,4089.0,63.408,13607.0,0.747,96.9,94.18,3327773,9.395,16.015
3,2003,99999999999998.0,3622.0,62.691,12046.0,0.75,96.96,94.21,3325637,9.371,15.837
4,2004,99999999999998.0,4117.0,62.813,13686.0,0.754,97.03,94.23,3324096,9.34,15.667
5,2005,99999999999998.0,5221.0,62.904,17363.0,0.756,97.28,94.38,3325612,9.306,15.502
6,2006,0.365,5878.0,64.18,19579.0,0.761,97.52,94.53,3331043,9.275,15.342
7,2007,0.425,7010.0,64.359,23411.0,0.762,97.75,94.67,3339741,9.251,15.188
8,2008,0.38,9062.0,64.823,30366.0,0.766,97.96,94.81,3350824,9.238,15.039
9,2009,0.413,9415.0,65.284,31661.0,0.778,98.17,94.95,3362755,9.237,14.895
10,2010,0.341,11938.0,65.485,40285.0,0.773,98.37,95.08,3374415,9.248,14.757
11,2011,0.349,14166.0,65.861,47962.0,0.782,98.56,95.2,3385624,9.267,14.623
12,2012,0.328,15092.0,65.381,51264.0,0.79,98.75,95.32,3396777,9.29,14.495
13,2013,0.321,16881.0,64.875,57531.0,0.797,98.88,95.81,3408005,9.401,14.233
14,2014,0.336,16832.0,65.39,57236.0,0.8,99.03,96.01,3419546,9.423,14.192
15,2015,0.364,15614.0,64.97,53274.0,0.806,99.18,96.2,3412013,9.44,14.134
16,2016,0.408,15387.0,64.68,52688.0,0.81,99.27,96.9,3424139,9.452,14.057
17,2017,0.484,17322.0,64.21,59530.0,0.814,99.4,97.19,3436645,9.461,13.963
18,2018,0.9999,17278.0,63.9,59597.0,0.816,99.48,97.48,3449290,9.467,13.857
19,2019,,16190.0,63.9,56046.0,0.817,99.49,97.77,3461731,,
20,2020,,,64.14,,,99.5,98.05,3473727,,
