year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
2000,,4784.0,63.781,117146.0,0.672,96.06,,24488340,4.983,23.773
2001,,4927.0,64.04,122911.0,0.68,96.21,,24948476,4.981,23.426
2002,,3656.0,63.807,92889.0,0.688,96.32,88.59,25408700,4.991,23.101
2003,,3229.0,63.613,83529.0,0.687,96.42,89.17,25868523,5.011,22.792
2004,,4271.0,64.452,112451.0,0.7,96.52,89.75,26327225,5.042,22.493
2005,0.189,5433.0,65.003,145514.0,0.714,96.62,90.33,26784161,5.081,22.202
2006,0.317,6736.0,65.529,183477.0,0.727,96.72,90.9,27239168,5.129,21.914
2007,0.201,8319.0,64.965,230364.0,0.744,96.82,91.48,27691965,5.181,21.63
2008,0.238,11215.0,65.052,315600.0,0.753,96.92,92.05,28141701,5.235,21.348
2009,0.24,11523.0,65.107,329419.0,0.753,97.01,92.63,28587323,5.29,21.066
2010,0.188,13566.0,64.804,393806.0,0.759,97.11,93.2,29028033,5.342,20.783
2011,0.153,10742.0,64.803,316483.0,0.771,97.21,93.77,29463291,5.392,20.495
2012,0.25,12755.0,64.23,381286.0,0.774,97.31,94.35,29893080,5.439,20.205
2013,0.319,12248.0,64.411,371338.0,0.776,95.94,93.94,30317848,5.997,19.775
2014,0.337,12099.0,63.05,363480.0,0.77,95.89,93.94,30738378,6.197,19.394
2015,,11439.0,62.87,344112.0,0.769,95.83,93.94,30081827,6.408,19.002
2016,,9664.0,62.17,288469.0,0.759,94.39,95.03,29851249,6.619,18.61
2017,,8429.0,61.41,247836.0,0.743,94.22,95.21,29402480,6.814,18.232
2018,,7062.0,60.28,203990.0,0.733,94.04,95.4,28887117,6.982,17.881
2019,,4733.0,57.95,134960.0,0.711,93.86,95.58,28515829,,
2020,,,59.27,,,93.69,95.76,28435943,,
