year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,0.439,8315,61.672,308148,0.771,99.01,,37057452,7.796,19.413
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,0.425,7775,61.651,291335,0.776,99.06,,37471509,7.782,19.302
2001-2003,,,,,,,,,,
2002,0.389,2919,61.293,110584,0.769,99.11,94.80,37889370,7.770,19.199
2002-2004,,,,,,,,,,
2003,0.410,3666,61.829,140444,0.775,99.16,94.81,38309379,7.759,19.091
2003-2005,,,,,,,,,,
2004,0.404,4285,62.367,165948,0.780,99.20,94.82,38728696,7.746,18.970
2004-2006,,,,,,,,,,
2005,0.421,5125,62.050,200622,0.782,99.24,94.84,39145488,7.731,18.836
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,0.452,5925,62.336,234391,0.787,99.29,94.85,39558890,7.714,18.695
2006-2008,,,,,,,,,,
2007,0.460,7249,61.594,289755,0.792,99.33,94.87,39970224,7.695,18.553
2007-2009,,,,,,,,,,
2008,0.471,9055,60.858,365644,0.795,99.37,94.89,40382389,7.676,18.417
2008-2010,,,,,,,,,,
2009,0.587,8244,61.236,336359,0.799,99.40,94.90,40799407,7.656,18.285
2009-2011,,,,,,,,,,
2010,0.561,10346,59.718,426487,0.813,99.44,94.87,41223889,7.637,18.154
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,0.566,12727,60.838,530158,0.819,99.48,94.85,41656879,7.619,18.019
2011-2013,,,,,,,,,,
2012,0.635,13812,60.692,581431,0.818,99.51,94.83,42096739,7.603,17.875
2012-2014,,,,,,,,,,
2013,0.618,14417,60.403,613316,0.820,98.93,94.17,42539925,7.665,17.831
2013-2015,,,,,,,,,,
2014,0.594,13299,59.69,567050,0.825,99.00,94.20,42981515,7.651,17.698
2014-2016,,,,,,,,,,
2015,0.623,14971,60.02,644903,0.840,99.07,94.23,43075416,7.638,17.548
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,0.558,12814,60.31,557532,0.839,99.02,95.42,43508459,7.626,17.383
2016-2018,,,,,,,,,,
2017,0.542,14628,60.59,642696,0.843,99999999999998,99999999999998,43937143,7.616,17.205
2017-2019,,,,,,,,,,
2018,99999999999998,11719,61.39,519872,0.842,99999999999998,99999999999998,44361150,7.609,17.021
2019,,10041,61.61,449664,0.845,99999999999998,99999999999998,44780675,,
2020,,,61.21,,,99999999999998,99999999999998,45195777,,
