year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,0.287,1007,70.369,8398,0.608,78.82,,8339512,10.043,30.905
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,0.294,958,70.810,8142,0.611,79.86,,8496375,9.794,30.356
2001-2003,,,,,,,,,,
2002,0.277,914,71.249,7905,0.617,80.89,40.15,8653345,9.552,29.796
2002-2004,,,,,,,,,,
2003,99999999999998,917,71.683,8082,0.621,81.90,41.11,8810420,9.318,29.234
2003-2005,,,,,,,,,,
2004,99999999999998,978,72.103,8773,0.622,82.89,42.06,8967741,9.094,28.678
2004-2006,,,,,,,,,,
2005,99999999999998,1046,72.503,9549,0.624,83.87,43.02,9125409,8.878,28.128
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,99999999999998,1234,72.892,11452,0.630,84.84,43.98,9283334,8.669,27.584
2006-2008,,,,,,,,,,
2007,99999999999998,1390,71.709,13120,0.631,85.79,44.93,9441444,8.466,27.045
2007-2009,,,,,,,,,,
2008,99999999999998,1737,72.068,16674,0.640,86.73,45.89,9599855,8.271,26.515
2008-2010,,,,,,,,,,
2009,0.157,1777,72.058,17340,0.647,87.65,46.85,9758748,8.086,25.997
2009-2011,,,,,,,,,,
2010,99999999999998,1981,71.975,19650,0.649,88.56,47.81,9918242,7.914,25.502
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,99999999999998,2378,71.819,23963,0.655,89.45,48.77,10078343,7.760,25.039
2011-2013,,,,,,,,,,
2012,99999999999998,2645,68.913,27084,0.662,90.33,49.73,10239004,7.626,24.612
2012-2014,,,,,,,,,,
2013,99999999999998,2948,69.305,30659,0.668,90.11,53.21,10400264,7.062,23.661
2013-2015,,,,,,,,,,
2014,99999999999998,3082,71.28,32996,0.678,90.81,55.05,10562159,6.966,23.233
2014-2016,,,,,,,,,,
2015,99999999999998,3036,67.04,33000,0.697,91.50,56.91,10869732,6.890,22.821
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,99999999999998,3077,67.69,33941,0.702,91.07,58.46,11031822,6.834,22.433
2016-2018,,,,,,,,,,
2017,99999999999998,3351,69.06,37509,0.710,91.66,60.25,11192853,6.795,22.076
2017-2019,,,,,,,,,,
2018,99999999999998,3549,71.96,40288,0.714,92.26,62.06,11353140,6.772,21.750
2019,,3552,72.1,40895,0.718,92.83,63.90,11513102,,
2020,,,71.67,,,93.39,65.76,11673029,,
