year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,1.002,3722,64.980,652360,0.684,93.71,,175287587,5.994,20.204
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,1.032,3155,65.267,560747,0.691,93.99,,177750670,5.933,19.618
2001-2003,,,,,,,,,,
2002,0.977,2842,66.063,512030,0.698,94.27,75.09,180151021,5.889,19.016
2002-2004,,,,,,,,,,
2003,0.999,3063,66.114,558922,0.695,94.54,75.98,182482149,5.860,18.420
2003-2005,,,,,,,,,,
2004,0.963,3623,66.830,669289,0.698,94.80,76.87,184738458,5.843,17.845
2004-2006,,,,,,,,,,
2005,1.002,4770,67.037,891634,0.700,95.06,77.75,186917361,5.836,17.310
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,0.988,5860,67.244,1107627,0.702,95.31,78.62,189012412,5.836,16.832
2006-2008,,,,,,,,,,
2007,1.081,7314,66.818,1397114,0.705,95.55,79.49,191026637,5.841,16.413
2007-2009,,,,,,,,,,
2008,1.129,8788,66.919,1695855,0.716,95.79,80.35,192979029,5.848,16.053
2008-2010,,,,,,,,,,
2009,1.119,8553,66.999,1666996,0.718,96.03,81.20,194895996,5.859,15.749
2009-2011,,,,,,,,,,
2010,1.160,11224,65.837,2208838,0.727,96.26,82.04,196796269,5.873,15.492
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,1.140,13167,64.648,2616157,0.731,96.48,82.88,198686688,5.895,15.269
2011-2013,,,,,,,,,,
2012,1.127,12292,64.350,2465228,0.736,96.70,83.71,200560983,5.927,15.060
2012-2014,,,,,,,,,,
2013,1.196,12217,64.229,2472819,0.748,97.02,84.79,202408632,6.147,14.772
2013-2015,,,,,,,,,,
2014,1.271,12113,63.9,2456044,0.755,97.25,85.68,204213133,6.195,14.624
2014-2016,,,,,,,,,,
2015,1.343,8814,64.05,1802212,0.756,97.61,86.55,204471759,6.250,14.472
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,1.264,8710,63.79,1795693,0.758,97.96,86.86,206163056,6.311,14.307
2016-2018,,,,,,,,,,
2017,1.263,9925,64.06,2062838,0.761,98.45,87.68,207833825,6.378,14.125
2017-2019,,,,,,,,,,
2018,99999999999998,9001,64.05,1885469,0.762,98.68,88.49,209469320,6.452,13.924
2019,,8755,64.46,1847796,0.765,98.94,89.30,211049519,,
2020,,,63.71,,,99.32,90.08,212559409,,
