year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,99999999999998,5134,54.476,78363,0.759,95.26,,15262754,5.268,16.959
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,99999999999998,4626,54.455,71456,0.766,95.69,,15444969,5.280,16.595
2001-2003,,,,,,,,,,
2002,99999999999998,4487,54.088,70098,0.768,96.11,93.13,15623635,5.303,16.277
2002-2004,,,,,,,,,,
2003,99999999999998,4816,54.358,76084,0.774,96.52,93.75,15799542,5.337,16.000
2003-2005,,,,,,,,,,
2004,99999999999998,6214,55.824,99260,0.783,96.91,94.35,15973778,5.381,15.759
2004-2006,,,,,,,,,,
2005,99999999999998,7615,55.330,122965,0.788,97.29,94.94,16147064,5.435,15.543
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,99999999999998,9485,56.020,154788,0.788,97.66,95.52,16319792,5.496,15.339
2006-2008,,,,,,,,,,
2007,0.310,10527,57.504,173606,0.795,98.01,96.09,16491687,5.564,15.135
2007-2009,,,,,,,,,,
2008,0.375,10781,58.394,179638,0.806,98.36,96.66,16661942,5.635,14.923
2008-2010,,,,,,,,,,
2009,0.352,10243,58.041,172390,0.804,98.70,97.21,16829442,5.707,14.699
2009-2011,,,,,,,,,,
2010,0.329,12860,60.758,218538,0.808,99.02,97.75,16993354,5.777,14.466
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,0.351,14706,61.969,252252,0.814,99.34,98.28,17153357,5.843,14.231
2011-2013,,,,,,,,,,
2012,0.362,15432,61.896,267122,0.819,99.65,98.81,17309746,5.905,14.006
2012-2014,,,,,,,,,,
2013,0.389,15941,61.989,278384,0.828,99.16,98.80,17462982,5.785,14.002
2013-2015,,,,,,,,,,
2014,0.375,14671,61.97,260542,0.834,99.40,99.25,17613798,5.848,13.700
2014-2016,,,,,,,,,,
2015,0.381,13574,62.08,243919,0.842,99.60,99.63,17969356,5.917,13.369
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,0.369,13754,62.02,250440,0.845,99.74,99.67,18209072,5.993,13.031
2016-2018,,,,,,,,,,
2017,0.355,14999,62.34,277045,0.847,99.97,100.00,18470435,6.076,12.711
2017-2019,,,,,,,,,,
2018,99999999999998,15925,62.49,298258,0.849,100.00,100.00,18729166,6.163,12.428
2019,,14896,62.36,282318,0.851,100.00,100.00,18952035,,
2020,,,62.78,,,100.00,100.00,19116209,,
