year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,0.130,2472,60.599,99876,0.653,90.04,,40403958,5.644,20.959
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,0.132,2396,61.504,98212,0.656,90.52,,40988909,5.616,20.593
2001-2003,,,,,,,,,,
2002,0.139,2356,62.415,97963,0.658,91.00,77.05,41572491,5.596,20.234
2002-2004,,,,,,,,,,
2003,0.156,2245,63.324,94641,0.657,91.47,77.67,42152151,5.581,19.865
2003-2005,,,,,,,,,,
2004,0.154,2740,64.220,117082,0.671,91.93,78.27,42724163,5.570,19.480
2004-2006,,,,,,,,,,
2005,0.150,3386,65.097,146566,0.683,92.39,78.87,43285634,5.565,19.078
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,0.149,3709,65.958,162590,0.691,92.84,79.46,43835722,5.567,18.663
2006-2008,,,,,,,,,,
2007,0.177,4674,66.795,207416,0.704,93.29,80.05,44374572,5.578,18.247
2007-2009,,,,,,,,,,
2008,0.193,5434,67.610,243982,0.710,93.73,80.62,44901544,5.598,17.842
2008-2010,,,,,,,,,,
2009,0.190,5148,68.404,233822,0.715,94.16,81.19,45416181,5.627,17.452
2009-2011,,,,,,,,,,
2010,0.195,6251,68.990,287018,0.719,94.59,81.75,45918097,5.665,17.079
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,0.206,7228,69.790,335415,0.725,95.01,82.30,46406646,5.711,16.727
2011-2013,,,,,,,,,,
2012,0.234,7885,70.685,369660,0.725,95.43,82.85,46881475,5.762,16.393
2012-2014,,,,,,,,,,
2013,0.271,8031,70.504,380192,0.735,96.01,85.46,47342981,5.339,15.945
2013-2015,,,,,,,,,,
2014,0.306,8114,69.52,381112,0.750,96.35,86.50,47791911,5.373,15.725
2014-2016,,,,,,,,,,
2015,0.290,6176,69.86,293482,0.756,96.68,87.55,47520667,5.410,15.515
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,0.267,5871,69.5,282825,0.760,96.62,89.96,48175048,5.453,15.308
2016-2018,,,,,,,,,,
2017,0.243,6377,69.18,311884,0.763,96.86,90.90,48909844,5.503,15.098
2017-2019,,,,,,,,,,
2018,0.237,6717,68.68,333569,0.764,97.14,91.83,49661056,5.562,14.882
2019,,6432,67.81,323803,0.767,97.32,92.75,50339443,,
2020,,,68.88,,,97.49,93.68,50882884,,
