year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,99999999999998,1451,67.914,18319,0.670,83.10,,12628596,5.222,24.922
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,0.052,1904,67.790,24468,0.675,83.78,,12852755,5.190,24.454
2001-2003,,,,,,,,,,
2002,0.055,2184,67.654,28549,0.679,84.43,73.03,13072060,5.169,24.032
2002-2004,,,,,,,,,,
2003,0.057,2440,68.712,32433,0.682,85.06,74.07,13289601,5.158,23.661
2003-2005,,,,,,,,,,
2004,99999999999998,2709,68.940,36592,0.688,85.69,75.10,13509647,5.155,23.343
2004-2006,,,,,,,,,,
2005,99999999999998,3022,69.146,41507,0.693,86.32,76.13,13735233,5.159,23.070
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,0.129,3351,70.261,46802,0.696,86.95,77.16,13967480,5.165,22.831
2006-2008,,,,,,,,,,
2007,0.132,3591,69.379,51008,0.698,87.58,78.17,14205453,5.172,22.607
2007-2009,,,,,,,,,,
2008,0.228,4275,68.450,61763,0.711,88.21,79.19,14447562,5.176,22.383
2008-2010,,,,,,,,,,
2009,0.395,4256,67.477,62520,0.712,88.83,80.20,14691275,5.178,22.148
2009-2011,,,,,,,,,,
2010,0.403,4657,65.065,69555,0.715,89.46,81.20,14934690,5.175,21.898
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,0.340,5223,64.321,79277,0.721,90.09,82.19,15177355,5.167,21.631
2011-2013,,,,,,,,,,
2012,0.332,5702,64.948,87925,0.726,90.72,83.19,15419666,5.157,21.352
2012-2014,,,,,,,,,,
2013,0.380,6074,64.340,95130,0.734,91.65,83.89,15661547,5.094,20.848
2013-2015,,,,,,,,,,
2014,0.443,6377,64.07,101726,0.750,92.36,85.00,15903112,5.096,20.645
2014-2016,,,,,,,,,,
2015,99999999999998,6124,66.48,99290,0.764,93.05,86.10,16212022,5.096,20.432
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,99999999999998,6060,68.41,99938,0.758,93.77,87.64,16491116,5.098,20.205
2016-2018,,,,,,,,,,
2017,99999999999998,6214,69.07,104296,0.760,94.31,88.74,16785356,5.101,19.968
2017-2019,,,,,,,,,,
2018,99999999999998,6296,68.03,107562,0.762,94.66,89.67,17084359,5.109,19.719
2019,,6184,67.83,107436,0.759,95.01,90.60,17373657,,
2020,,,68.05,,,95.36,91.52,17643060,,
