year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,99999999999998,1997,67.617,51743,0.678,80.52,,25914879,5.788,24.100
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,99999999999998,1982,70.728,52049,0.686,81.22,,26261363,5.699,23.627
2001-2003,,,,,,,,,,
2002,99999999999998,2060,71.996,54796,0.687,81.91,64.72,26601467,5.628,23.190
2002-2004,,,,,,,,,,
2003,99999999999998,2181,73.225,58743,0.686,82.59,65.75,26937738,5.575,22.785
2003-2005,,,,,,,,,,
2004,99999999999998,2449,74.417,66781,0.693,83.26,66.76,27273194,5.540,22.410
2004-2006,,,,,,,,,,
2005,99999999999998,2755,75.575,76080,0.698,83.91,67.75,27610410,5.521,22.070
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,99999999999998,3172,76.729,88659,0.695,84.56,68.73,27949944,5.517,21.769
2006-2008,,,,,,,,,,
2007,99999999999998,3612,77.841,102202,0.703,85.19,69.69,28292724,5.524,21.507
2007-2009,,,,,,,,,,
2008,99999999999998,4211,77.938,120612,0.712,85.81,70.63,28641980,5.539,21.278
2008-2010,,,,,,,,,,
2009,99999999999998,4167,78.362,120851,0.715,86.43,71.56,29001507,5.557,21.072
2009-2011,,,,,,,,,,
2010,99999999999998,5022,79.078,147528,0.717,87.03,72.48,29373646,5.577,20.876
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,0.083,5772,78.604,171762,0.729,87.62,73.37,29759989,5.595,20.673
2011-2013,,,,,,,,,,
2012,0.055,6388,78.504,192650,0.729,88.19,74.26,30158966,5.610,20.452
2012-2014,,,,,,,,,,
2013,0.082,6583,77.964,201218,0.736,88.93,72.32,30565716,5.309,19.185
2013-2015,,,,,,,,,,
2014,0.108,6679,76.97,200981,0.752,89.49,72.83,30973354,5.324,18.827
2014-2016,,,,,,,,,,
2015,0.117,6229,75.82,189803,0.759,90.04,73.34,30470739,5.348,18.544
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,0.120,6205,75.44,191898,0.765,90.86,75.79,30926036,5.386,18.323
2016-2018,,,,,,,,,,
2017,0.121,6711,77.08,211008,0.767,91.44,76.49,31444299,5.438,18.134
2017-2019,,,,,,,,,,
2018,0.127,6941,77.56,222045,0.771,92.01,77.19,31989265,5.503,17.949
2019,,6978,77.86,226850,0.777,92.58,77.88,32510462,,
2020,,,77.95,,,93.14,78.58,32971846,,
