year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,99999999999998,1338,69.831,7095,0.624,75.03,,5302700,5.771,27.079
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,0.074,1192,69.918,6446,0.632,76.86,,5406624,5.708,26.291
2001-2003,,,,,,,,,,
2002,0.085,1148,70.008,6325,0.642,78.67,74.82,5508611,5.655,25.570
2002-2004,,,,,,,,,,
2003,0.072,1175,70.102,6588,0.640,80.32,76.13,5607950,5.616,24.944
2003-2005,,,,,,,,,,
2004,0.073,1409,70.201,8034,0.646,81.93,77.42,5703740,5.591,24.422
2004-2006,,,,,,,,,,
2005,0.075,1507,70.304,8735,0.649,83.54,78.71,5795494,5.579,23.998
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,99999999999998,1810,70.404,10646,0.649,85.13,79.98,5882796,5.576,23.650
2006-2008,,,,,,,,,,
2007,99999999999998,2312,70.514,13795,0.655,86.71,81.25,5966159,5.577,23.339
2007-2009,,,,,,,,,,
2008,0.055,3060,70.610,18503,0.664,88.27,82.52,6047117,5.579,23.036
2008-2010,,,,,,,,,,
2009,99999999999998,2600,71.067,15934,0.659,89.83,83.78,6127837,5.580,22.731
2009-2011,,,,,,,,,,
2010,99999999999998,3228,68.982,20048,0.675,91.37,85.03,6209877,5.581,22.422
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,0.042,3988,69.251,25100,0.680,92.90,86.28,6293783,5.586,22.118
2011-2013,,,,,,,,,,
2012,0.065,3856,72.352,24595,0.680,94.41,87.52,6379219,5.598,21.835
2012-2014,,,,,,,,,,
2013,99999999999998,4480,71.281,28966,0.695,94.60,85.52,6465740,5.407,21.646
2013-2015,,,,,,,,,,
2014,0.079,6103,69.6,40277,0.712,95.93,86.60,6552584,5.412,21.413
2014-2016,,,,,,,,,,
2015,0.097,5407,69.64,36164,0.721,97.26,87.67,6688746,5.422,21.198
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,0.117,5319,70.38,36054,0.722,98.10,88.65,6777878,5.440,20.993
2016-2018,,,,,,,,,,
2017,0.149,5681,70.57,39009,0.726,99.36,89.69,6867058,5.465,20.787
2017-2019,,,,,,,,,,
2018,99999999999998,5806,72.02,40385,0.727,99.59,90.73,6956069,5.498,20.571
2019,,5406,72.66,38087,0.728,99.59,91.78,7044639,,
2020,,,72.15,,,99.59,92.72,7132530,,
