year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,99999999999998,2449,51.218,1157,99999999999998,88.84,,472390,7.450,23.209
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,99999999999998,2137,51.356,1021,99999999999998,89.35,,477740,7.471,22.786
2001-2003,,,,,,,,,,
2002,99999999999998,2772,51.516,1339,99999999999998,89.85,80.70,483044,7.472,22.371
2002-2004,,,,,,,,,,
2003,99999999999998,3190,51.717,1558,99999999999998,90.36,80.58,488332,7.450,21.964
2003-2005,,,,,,,,,,
2004,99999999999998,3658,51.971,1806,0.671,90.86,80.47,493630,7.409,21.565
2004-2006,,,,,,,,,,
2005,99999999999998,4395,52.163,2193,0.676,91.34,80.32,498946,7.352,21.180
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,99999999999998,5208,52.362,2626,0.681,91.81,80.17,504307,7.286,20.816
2006-2008,,,,,,,,,,
2007,99999999999998,5761,52.577,2936,0.687,92.29,80.02,509705,7.223,20.476
2007-2009,,,,,,,,,,
2008,99999999999998,6858,52.775,3533,0.691,92.77,79.87,515148,7.169,20.164
2008-2010,,,,,,,,,,
2009,99999999999998,7444,52.946,3876,0.677,93.25,79.72,520619,7.130,19.877
2009-2011,,,,,,,,,,
2010,99999999999998,8303,53.135,4368,0.703,93.73,79.57,526103,7.111,19.613
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,99999999999998,8319,53.287,4422,0.706,94.21,79.42,531589,7.111,19.368
2011-2013,,,,,,,,,,
2012,99999999999998,9272,53.394,4980,0.711,94.70,79.26,537077,7.129,19.134
2012-2014,,,,,,,,,,
2013,99999999999998,9484,53.486,5146,0.715,93.83,83.21,542540,7.071,19.775
2013-2015,,,,,,,,,,
2014,99999999999998,9472,51.95,5241,0.726,94.23,83.52,547928,7.114,19.537
2014-2016,,,,,,,,,,
2015,99999999999998,8562,51.93,4787,0.740,94.44,83.83,559136,7.164,19.292
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,99999999999998,5539,51.83,3129,0.735,96.20,87.16,564883,7.219,19.042
2016-2018,,,,,,,,,,
2017,99999999999998,5638,51.8,3216,0.732,96.64,87.85,570501,7.277,18.791
2017-2019,,,,,,,,,,
2018,99999999999998,6015,51.76,3465,0.734,97.09,88.55,575987,7.335,18.542
2019,,6360,51.66,3697,0.738,97.54,89.25,581363,,
2020,,,51.01,,,97.99,89.95,586634,,
