year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,0.209,6872,63.024,22823,0.742,96.75,,3321245,9.424,16.398
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,99999999999998,6281,64.088,20899,0.746,96.83,,3327103,9.412,16.200
2001-2003,,,,,,,,,,
2002,0.238,4089,63.408,13607,0.747,96.90,94.18,3327773,9.395,16.015
2002-2004,,,,,,,,,,
2003,99999999999998,3622,62.691,12046,0.750,96.96,94.21,3325637,9.371,15.837
2003-2005,,,,,,,,,,
2004,99999999999998,4117,62.813,13686,0.754,97.03,94.23,3324096,9.340,15.667
2004-2006,,,,,,,,,,
2005,99999999999998,5221,62.904,17363,0.756,97.28,94.38,3325612,9.306,15.502
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,0.365,5878,64.180,19579,0.761,97.52,94.53,3331043,9.275,15.342
2006-2008,,,,,,,,,,
2007,0.425,7010,64.359,23411,0.762,97.75,94.67,3339741,9.251,15.188
2007-2009,,,,,,,,,,
2008,0.380,9062,64.823,30366,0.766,97.96,94.81,3350824,9.238,15.039
2008-2010,,,,,,,,,,
2009,0.413,9415,65.284,31661,0.778,98.17,94.95,3362755,9.237,14.895
2009-2011,,,,,,,,,,
2010,0.341,11938,65.485,40285,0.773,98.37,95.08,3374415,9.248,14.757
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,0.349,14166,65.861,47962,0.782,98.56,95.20,3385624,9.267,14.623
2011-2013,,,,,,,,,,
2012,0.328,15092,65.381,51264,0.790,98.75,95.32,3396777,9.290,14.495
2012-2014,,,,,,,,,,
2013,0.321,16881,64.875,57531,0.797,98.88,95.81,3408005,9.401,14.233
2013-2015,,,,,,,,,,
2014,0.336,16832,65.39,57236,0.800,99.03,96.01,3419546,9.423,14.192
2014-2016,,,,,,,,,,
2015,0.364,15614,64.97,53274,0.806,99.18,96.20,3412013,9.440,14.134
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,0.408,15387,64.68,52688,0.810,99.27,96.90,3424139,9.452,14.057
2016-2018,,,,,,,,,,
2017,0.484,17322,64.21,59530,0.814,99.40,97.19,3436645,9.461,13.963
2017-2019,,,,,,,,,,
2018,99999999999998,17278,63.9,59597,0.816,99.48,97.48,3449290,9.467,13.857
2019,,16190,63.9,56046,0.817,99.49,97.77,3461731,,
2020,,,64.14,,,99.50,98.05,3473727,,
