year,cod_77821,cod_77823,cod_77824,cod_77827,cod_77831,cod_77832,cod_77833,cod_77849,cod_77850,cod_77851
1990,,,,,,,,,,
1990-1995,,,,,,,,,,
1995,,,,,,,,,,
1995-2000,,,,,,,,,,
1999-2001,,,,,,,,,,
2000,99999999999998,4784,63.781,117146,0.672,96.06,,24488340,4.983,23.773
2000-2002,,,,,,,,,,
2000-2005,,,,,,,,,,
2001,99999999999998,4927,64.040,122911,0.680,96.21,,24948476,4.981,23.426
2001-2003,,,,,,,,,,
2002,99999999999998,3656,63.807,92889,0.688,96.32,88.59,25408700,4.991,23.101
2002-2004,,,,,,,,,,
2003,99999999999998,3229,63.613,83529,0.687,96.42,89.17,25868523,5.011,22.792
2003-2005,,,,,,,,,,
2004,99999999999998,4271,64.452,112451,0.700,96.52,89.75,26327225,5.042,22.493
2004-2006,,,,,,,,,,
2005,0.189,5433,65.003,145514,0.714,96.62,90.33,26784161,5.081,22.202
2005-2007,,,,,,,,,,
2005-2010,,,,,,,,,,
2006,0.317,6736,65.529,183477,0.727,96.72,90.90,27239168,5.129,21.914
2006-2008,,,,,,,,,,
2007,0.201,8319,64.965,230364,0.744,96.82,91.48,27691965,5.181,21.630
2007-2009,,,,,,,,,,
2008,0.238,11215,65.052,315600,0.753,96.92,92.05,28141701,5.235,21.348
2008-2010,,,,,,,,,,
2009,0.240,11523,65.107,329419,0.753,97.01,92.63,28587323,5.290,21.066
2009-2011,,,,,,,,,,
2010,0.188,13566,64.804,393806,0.759,97.11,93.20,29028033,5.342,20.783
2010-2012,,,,,,,,,,
2010-2015,,,,,,,,,,
2011,0.153,10742,64.803,316483,0.771,97.21,93.77,29463291,5.392,20.495
2011-2013,,,,,,,,,,
2012,0.250,12755,64.230,381286,0.774,97.31,94.35,29893080,5.439,20.205
2012-2014,,,,,,,,,,
2013,0.319,12248,64.411,371338,0.776,95.94,93.94,30317848,5.997,19.775
2013-2015,,,,,,,,,,
2014,0.337,12099,63.05,363480,0.770,95.89,93.94,30738378,6.197,19.394
2014-2016,,,,,,,,,,
2015,99999999999998,11439,62.87,344112,0.769,95.83,93.94,30081827,6.408,19.002
2015-2017,,,,,,,,,,
2015-2020,,,,,,,,,,
2016,99999999999998,9664,62.17,288469,0.759,94.39,95.03,29851249,6.619,18.610
2016-2018,,,,,,,,,,
2017,99999999999998,8429,61.41,247836,0.743,94.22,95.21,29402480,6.814,18.232
2017-2019,,,,,,,,,,
2018,99999999999998,7062,60.28,203990,0.733,94.04,95.40,28887117,6.982,17.881
2019,,4733,57.95,134960,0.711,93.86,95.58,28515829,,
2020,,,59.27,,,93.69,95.76,28435943,,
